Date,Product,Category,Sales,Units
2023-01-01,Laptop,Electronics,9662.09,11
2023-01-01,Smartphone,Electronics,15742.01,24
2023-01-01,Headphones,Electronics,2970.91,22
2023-01-01,Tablet,Electronics,5709.94,14
2023-01-01,Smart Watch,Electronics,6091.47,25
2023-01-01,T-Shirt,Clothing,1648.12,66
2023-01-01,Jeans,Clothing,2181.26,36
2023-01-01,Jacket,Clothing,2028.22,24
2023-01-01,Sneakers,Clothing,2053.39,28
2023-01-01,Dress,Clothing,1590.36,23
2023-01-01,Blender,Home & Kitchen,804.75,17
2023-01-01,Coffee Maker,Home & Kitchen,1227.79,15
2023-01-01,Cookware Set,Home & Kitchen,1097.5,9
2023-01-01,Vacuum Cleaner,Home & Kitchen,1473.71,8
2023-01-01,Air Fryer,Home & Kitchen,1436.53,16
2023-01-01,Shampoo,Beauty,702.76,56
2023-01-01,Moisturizer,Beauty,921.69,34
2023-01-01,Lipstick,Beauty,629.12,37
2023-01-01,Perfume,Beauty,702.02,11
2023-01-01,Face Serum,Beauty,592.16,14
2023-01-02,Laptop,Electronics,8319.56,9
2023-01-02,Smartphone,Electronics,8728.08,14
2023-01-02,Headphones,Electronics,3040.05,23
2023-01-02,Tablet,Electronics,4584.43,12
2023-01-02,Smart Watch,Electronics,5606.49,24
2023-01-02,T-Shirt,Clothing,928.32,42
2023-01-02,Jeans,Clothing,1425.11,24
2023-01-02,Jacket,Clothing,1000.04,11
2023-01-02,Sneakers,Clothing,1256.34,16
2023-01-02,Dress,Clothing,774.09,12
2023-01-02,Blender,Home & Kitchen,673.13,14
2023-01-02,Coffee Maker,Home & Kitchen,644.29,8
2023-01-02,Cookware Set,Home & Kitchen,1151.67,9
2023-01-02,Vacuum Cleaner,Home & Kitchen,1336.6,7
2023-01-02,Air Fryer,Home & Kitchen,1130.13,13
2023-01-02,Shampoo,Beauty,443.74,38
2023-01-02,Moisturizer,Beauty,665.29,25
2023-01-02,Lipstick,Beauty,413.24,24
2023-01-02,Perfume,Beauty,588.54,9
2023-01-02,Face Serum,Beauty,557.96,13
2023-01-03,Laptop,Electronics,7871.17,9
2023-01-03,Smartphone,Electronics,11612.18,19
2023-01-03,Headphones,Electronics,2884.56,24
2023-01-03,Tablet,Electronics,3519.34,9
2023-01-03,Smart Watch,Electronics,4660.68,19
2023-01-03,T-Shirt,Clothing,970.1,40
2023-01-03,Jeans,Clothing,1487.26,26
2023-01-03,Jacket,Clothing,1159.24,13
2023-01-03,Sneakers,Clothing,956.54,13
2023-01-03,Dress,Clothing,721.08,10
2023-01-03,Blender,Home & Kitchen,842.13,17
2023-01-03,Coffee Maker,Home & Kitchen,826.33,10
2023-01-03,Cookware Set,Home & Kitchen,1045.62,8
2023-01-03,Vacuum Cleaner,Home & Kitchen,950.61,5
2023-01-03,Air Fryer,Home & Kitchen,1107.88,12
2023-01-03,Shampoo,Beauty,431.52,38
2023-01-03,Moisturizer,Beauty,975.39,35
2023-01-03,Lipstick,Beauty,482.68,26
2023-01-03,Perfume,Beauty,592.92,9
2023-01-03,Face Serum,Beauty,588.91,14
2023-01-04,Laptop,Electronics,9933.3,11
2023-01-04,Smartphone,Electronics,8850.26,14
2023-01-04,Headphones,Electronics,3428.03,27
2023-01-04,Tablet,Electronics,5244.07,14
2023-01-04,Smart Watch,Electronics,6698.76,27
2023-01-04,T-Shirt,Clothing,823.89,33
2023-01-04,Jeans,Clothing,1195.75,21
2023-01-04,Jacket,Clothing,1314.3,16
2023-01-04,Sneakers,Clothing,1009.23,13
2023-01-04,Dress,Clothing,899.11,14
2023-01-04,Blender,Home & Kitchen,1108.73,23
2023-01-04,Coffee Maker,Home & Kitchen,942.62,12
2023-01-04,Cookware Set,Home & Kitchen,738.94,6
2023-01-04,Vacuum Cleaner,Home & Kitchen,982.75,5
2023-01-04,Air Fryer,Home & Kitchen,1067.69,13
2023-01-04,Shampoo,Beauty,497.52,40
2023-01-04,Moisturizer,Beauty,861.08,31
2023-01-04,Lipstick,Beauty,380.79,21
2023-01-04,Perfume,Beauty,593.49,9
2023-01-04,Face Serum,Beauty,549.2,14
2023-01-05,Laptop,Electronics,6831.88,8
2023-01-05,Smartphone,Electronics,9014.5,14
2023-01-05,Headphones,Electronics,5038.63,38
2023-01-05,Tablet,Electronics,5369.42,14
2023-01-05,Smart Watch,Electronics,5723.93,24
2023-01-05,T-Shirt,Clothing,823.63,36
2023-01-05,Jeans,Clothing,1110.85,20
2023-01-05,Jacket,Clothing,1129.88,13
2023-01-05,Sneakers,Clothing,1145.73,14
2023-01-05,Dress,Clothing,1215.0,17
2023-01-05,Blender,Home & Kitchen,774.16,16
2023-01-05,Coffee Maker,Home & Kitchen,1128.52,14
2023-01-05,Cookware Set,Home & Kitchen,999.57,8
2023-01-05,Vacuum Cleaner,Home & Kitchen,1416.8,7
2023-01-05,Air Fryer,Home & Kitchen,1298.06,14
2023-01-05,Shampoo,Beauty,292.02,26
2023-01-05,Moisturizer,Beauty,1157.99,44
2023-01-05,Lipstick,Beauty,484.99,27
2023-01-05,Perfume,Beauty,499.38,8
2023-01-05,Face Serum,Beauty,703.14,16
2023-01-06,Laptop,Electronics,6751.18,8
2023-01-06,Smartphone,Electronics,11096.21,18
2023-01-06,Headphones,Electronics,3381.15,26
2023-01-06,Tablet,Electronics,3146.75,8
2023-01-06,Smart Watch,Electronics,4462.03,18
2023-01-06,T-Shirt,Clothing,762.25,31
2023-01-06,Jeans,Clothing,1618.6,27
2023-01-06,Jacket,Clothing,1249.68,15
2023-01-06,Sneakers,Clothing,1458.5,19
2023-01-06,Dress,Clothing,814.35,12
2023-01-06,Blender,Home & Kitchen,921.01,18
2023-01-06,Coffee Maker,Home & Kitchen,903.96,11
2023-01-06,Cookware Set,Home & Kitchen,1023.93,8
2023-01-06,Vacuum Cleaner,Home & Kitchen,1300.74,7
2023-01-06,Air Fryer,Home & Kitchen,1214.21,14
2023-01-06,Shampoo,Beauty,610.46,51
2023-01-06,Moisturizer,Beauty,774.57,27
2023-01-06,Lipstick,Beauty,404.72,22
2023-01-06,Perfume,Beauty,607.22,10
2023-01-06,Face Serum,Beauty,515.89,12
2023-01-07,Laptop,Electronics,6223.78,7
2023-01-07,Smartphone,Electronics,11394.95,17
2023-01-07,Headphones,Electronics,5903.14,47
2023-01-07,Tablet,Electronics,4810.75,12
2023-01-07,Smart Watch,Electronics,4387.91,18
2023-01-07,T-Shirt,Clothing,1893.93,83
2023-01-07,Jeans,Clothing,1755.75,29
2023-01-07,Jacket,Clothing,3140.7,38
2023-01-07,Sneakers,Clothing,1854.53,25
2023-01-07,Dress,Clothing,1789.12,27
2023-01-07,Blender,Home & Kitchen,866.09,17
2023-01-07,Coffee Maker,Home & Kitchen,982.85,13
2023-01-07,Cookware Set,Home & Kitchen,1085.55,9
2023-01-07,Vacuum Cleaner,Home & Kitchen,1291.59,7
2023-01-07,Air Fryer,Home & Kitchen,1319.96,16
2023-01-07,Shampoo,Beauty,508.28,42
2023-01-07,Moisturizer,Beauty,1022.86,38
2023-01-07,Lipstick,Beauty,632.66,34
2023-01-07,Perfume,Beauty,541.51,9
2023-01-07,Face Serum,Beauty,640.03,16
2023-01-08,Laptop,Electronics,9633.01,11
2023-01-08,Smartphone,Electronics,9429.03,15
2023-01-08,Headphones,Electronics,3370.78,28
2023-01-08,Tablet,Electronics,5546.63,15
2023-01-08,Smart Watch,Electronics,5342.63,23
2023-01-08,T-Shirt,Clothing,1419.09,57
2023-01-08,Jeans,Clothing,1510.79,25
2023-01-08,Jacket,Clothing,1786.27,20
2023-01-08,Sneakers,Clothing,1555.3,21
2023-01-08,Dress,Clothing,1089.48,16
2023-01-08,Blender,Home & Kitchen,912.53,19
2023-01-08,Coffee Maker,Home & Kitchen,792.48,10
2023-01-08,Cookware Set,Home & Kitchen,968.19,8
2023-01-08,Vacuum Cleaner,Home & Kitchen,775.46,4
2023-01-08,Air Fryer,Home & Kitchen,1550.38,18
2023-01-08,Shampoo,Beauty,438.93,38
2023-01-08,Moisturizer,Beauty,875.94,31
2023-01-08,Lipstick,Beauty,507.07,27
2023-01-08,Perfume,Beauty,638.64,10
2023-01-08,Face Serum,Beauty,706.58,17
2023-01-09,Laptop,Electronics,9033.48,10
2023-01-09,Smartphone,Electronics,10914.44,17
2023-01-09,Headphones,Electronics,2717.27,22
2023-01-09,Tablet,Electronics,4530.94,12
2023-01-09,Smart Watch,Electronics,5138.83,20
2023-01-09,T-Shirt,Clothing,767.9,32
2023-01-09,Jeans,Clothing,1316.62,22
2023-01-09,Jacket,Clothing,1297.92,14
2023-01-09,Sneakers,Clothing,1155.39,14
